TF gene ID,level in GCN
Zm00001d040254, 13
Zm00001d022266, 8
Zm00001d047421, 3
Zm00001d048199, 6
Zm00001d028603, 8
Zm00001d030744, 3
Zm00001d033834, 8
Zm00001d026050, 9
Zm00001d026158, 9
Zm00001d002573, 8
Zm00001d002718, 10
Zm00001d006744, 14
Zm00001d041536, 5
Zm00001d048600, 4
Zm00001d048602, 5
Zm00001d048603, 5
Zm00001d048604, 5
Zm00001d051387, 12
Zm00001d051461, 6
Zm00001d017129, 15
Zm00001d017513, 11
Zm00001d021826, 14
Zm00001d021998, 14
Zm00001d022116, 4
Zm00001d011070, 15
Zm00001d045507, 14
Zm00001d047813, 4
Zm00001d033680, 13
Zm00001d042472, 4
Zm00001d044065, 11
Zm00001d013465, 4
Zm00001d015815, 14
Zm00001d046783, 13
Zm00001d030500, 6
Zm00001d006551, 4
Zm00001d021946, 3
Zm00001d038225, 5
Zm00001d034664, 4
Zm00001d042907, 6
Zm00001d042127, 5
Zm00001d011881, 14
Zm00001d006701, 3
Zm00001d005029, 5
Zm00001d052380, 13
Zm00001d029607, 13
Zm00001d006721, 13
Zm00001d021973, 12
Zm00001d013346, 3
Zm00001d013555, 12
Zm00001d045533, 4
Zm00001d000238, 5
Zm00001d033876, 5
Zm00001d007465, 13
Zm00001d033396, 12
Zm00001d026240, 12
Zm00001d002429, 3
Zm00001d006348, 4
Zm00001d052112, 8
Zm00001d017742, 3
Zm00001d018260, 13
Zm00001d035965, 4
Zm00001d037117, 12
Zm00001d021362, 3
Zm00001d010758, 12
Zm00001d005584, 3
Zm00001d007675, 14
Zm00001d039002, 14
Zm00001d009562, 5
Zm00001d011560, 5
Zm00001d038812, 14
Zm00001d052133, 13
Zm00001d018225, 12
Zm00001d042212, 13
Zm00001d046405, 14
Zm00001d038811, 13
Zm00001d028304, 15
Zm00001d043231, 3
Zm00001d013699, 11
Zm00001d000247, 13
Zm00001d040090, 13
Zm00001d021236, 10
Zm00001d032316, 4
Zm00001d051749, 14
Zm00001d008869, 12
Zm00001d017422, 3
Zm00001d021268, 3
Zm00001d027852, 13
Zm00001d033005, 14
Zm00001d005951, 9
Zm00001d044081, 13
Zm00001d002754, 13
Zm00001d045398, 13
Zm00001d030532, 14
Zm00001d027991, 12
Zm00001d024701, 12
Zm00001d031745, 12
Zm00001d005875, 4
Zm00001d020670, 10
Zm00001d029934, 3
Zm00001d030069, 13
Zm00001d019477, 15
Zm00001d037140, 13
Zm00001d044973, 13
Zm00001d002234, 13
Zm00001d049443, 12
Zm00001d033246, 12
Zm00001d041489, 11
Zm00001d027317, 12
Zm00001d032681, 12
Zm00001d006298, 14
Zm00001d014858, 13
Zm00001d017555, 13
Zm00001d043946, 13
Zm00001d016082, 13
Zm00001d016456, 4
Zm00001d006306, 14
Zm00001d021433, 13
Zm00001d052749, 13
Zm00001d032239, 13
Zm00001d026348, 12
Zm00001d002241, 12
Zm00001d050368, 15
Zm00001d006034, 3
Zm00001d051861, 5
Zm00001d037425, 11
Zm00001d021968, 14
Zm00001d033987, 4
Zm00001d043536, 3
Zm00001d020704, 7
Zm00001d022295, 12
Zm00001d016674, 6
Zm00001d010812, 3
Zm00001d012749, 5
Zm00001d016520, 3
Zm00001d032923, 5
Zm00001d034433, 4
Zm00001d018941, 2
Zm00001d026094, 3
Zm00001d031736, 3
Zm00001d052738, 3
Zm00001d029270, 13
Zm00001d005843, 14
Zm00001d048041, 7
Zm00001d016255, 3
Zm00001d044259, 2
Zm00001d046204, 4
Zm00001d028269, 6
Zm00001d034886, 3
Zm00001d012823, 3
Zm00001d005888, 3
Zm00001d020714, 3
Zm00001d023316, 13
Zm00001d042560, 12
Zm00001d012180, 12
Zm00001d033335, 5
Zm00001d052317, 13
Zm00001d038013, 13
Zm00001d028721, 3
Zm00001d043036, 11
Zm00001d009823, 13
Zm00001d013625, 11
Zm00001d029506, 5
Zm00001d038717, 5
Zm00001d010751, 5
Zm00001d051891, 6
Zm00001d016585, 4
Zm00001d044463, 11
Zm00001d033262, 4
Zm00001d041474, 3
Zm00001d035195, 14
Zm00001d049525, 13
Zm00001d024777, 13
Zm00001d042315, 14
Zm00001d039913, 3
Zm00001d007891, 4
Zm00001d044899, 13
Zm00001d031268, 2
Zm00001d033074, 15
Zm00001d025128, 15
Zm00001d006046, 6
Zm00001d052800, 3
Zm00001d013667, 2
Zm00001d008886, 14
Zm00001d010322, 3
Zm00001d028217, 14
Zm00001d011748, 13
Zm00001d008882, 7
Zm00001d049692, 2
Zm00001d027425, 13
Zm00001d035487, 10
Zm00001d010974, 7
Zm00001d027230, 14
Zm00001d050234, 12
Zm00001d018065, 15
Zm00001d029242, 5
Zm00001d031533, 8
Zm00001d006629, 12
Zm00001d041537, 10
Zm00001d042436, 12
Zm00001d052081, 7
Zm00001d015585, 9
Zm00001d017130, 3
Zm00001d018066, 15
Zm00001d038158, 9
Zm00001d021376, 13
Zm00001d021513, 8
Zm00001d010329, 11
Zm00001d010340, 11
Zm00001d047442, 15
Zm00001d018756, 14
Zm00001d034207, 13
Zm00001d004126, 12
Zm00001d043837, 13
Zm00001d036551, 13
Zm00001d038930, 8
Zm00001d012404, 5
Zm00001d000361, 5
Zm00001d001837, 2
Zm00001d039893, 3
Zm00001d042830, 13
Zm00001d038270, 13
Zm00001d008602, 3
Zm00001d042287, 13
Zm00001d032694, 8
Zm00001d016952, 14
Zm00001d002843, 3
Zm00001d051269, 12
Zm00001d014989, 15
Zm00001d017383, 3
Zm00001d020457, 14
Zm00001d022227, 7
Zm00001d044975, 6
