BIN	# in LD	# in TD	PDF in LD	PDF in TD	CDF_asc in LD	CDF_asc in TD	CDF_desc in LD	CDF_desc in TD
-0.290000	267951	316525	0.006119	0.007229	0.341360	0.324968	0.664759	0.682260
-0.280000	267784	316104	0.006115	0.007219	0.347476	0.332187	0.658640	0.675032
-0.270000	265459	315037	0.006062	0.007195	0.353538	0.339381	0.652524	0.667813
-0.260000	265108	315668	0.006054	0.007209	0.359592	0.346590	0.646462	0.660619
-0.250000	263556	313150	0.006019	0.007151	0.365611	0.353742	0.640408	0.653410
-0.240000	262428	313728	0.005993	0.007165	0.371604	0.360907	0.634389	0.646258
-0.230000	262874	313018	0.006003	0.007148	0.377607	0.368055	0.628396	0.639093
-0.220000	261810	310991	0.005979	0.007102	0.383586	0.375157	0.622393	0.631945
-0.210000	260567	309687	0.005951	0.007072	0.389537	0.382229	0.616414	0.624843
-0.200000	260921	307321	0.005959	0.007018	0.395496	0.389248	0.610463	0.617771
-0.190000	259011	304740	0.005915	0.006959	0.401411	0.396207	0.604504	0.610752
-0.180000	257291	303478	0.005876	0.006931	0.407286	0.403138	0.598589	0.603793
-0.170000	256623	301147	0.005861	0.006877	0.413147	0.410015	0.592714	0.596862
-0.160000	256437	299261	0.005856	0.006834	0.419003	0.416849	0.586853	0.589985
-0.150000	255478	296732	0.005834	0.006777	0.424838	0.423626	0.580997	0.583151
-0.140000	254890	294582	0.005821	0.006727	0.430659	0.430353	0.575162	0.576374
-0.130000	253448	292929	0.005788	0.006690	0.436447	0.437043	0.569341	0.569647
-0.120000	254396	291461	0.005810	0.006656	0.442256	0.443699	0.563553	0.562957
-0.110000	253141	290108	0.005781	0.006625	0.448037	0.450324	0.557744	0.556301
-0.100000	252355	287829	0.005763	0.006573	0.453800	0.456897	0.551963	0.549676
-0.090000	251598	286352	0.005746	0.006539	0.459546	0.463437	0.546200	0.543103
-0.080000	252078	284044	0.005757	0.006487	0.465303	0.469924	0.540454	0.536563
-0.070000	250837	282580	0.005728	0.006453	0.471031	0.476377	0.534697	0.530076
-0.060000	250684	280774	0.005725	0.006412	0.476756	0.482789	0.528969	0.523623
-0.050000	250174	278696	0.005713	0.006365	0.482469	0.489154	0.523244	0.517211
-0.040000	249997	277387	0.005709	0.006335	0.488179	0.495488	0.517531	0.510846
-0.030000	249748	276626	0.005704	0.006317	0.493882	0.501806	0.511821	0.504512
-0.020000	249724	275660	0.005703	0.006295	0.499585	0.508101	0.506118	0.498194
-0.010000	249260	273133	0.005692	0.006238	0.505277	0.514338	0.500415	0.491899
0.000000	288075	274696	0.006579	0.006273	0.511856	0.520612	0.494723	0.485662
0.010000	248637	270934	0.005678	0.006187	0.517534	0.526799	0.488144	0.479388
0.020000	248482	270132	0.005675	0.006169	0.523209	0.532968	0.482466	0.473201
0.030000	248872	268588	0.005684	0.006134	0.528893	0.539102	0.476791	0.467032
